id;customer_name;description;website;country;sustainability_contact_name;sustainability_contact_email
1;lest;bleakly modulo letterbox;subject;Eswatini;for randomisation;weasel attractive wool
2;per deceivingly merrily;towel cake step-brother;thongs overconfidently modulo;Senegal;bah;on coolly although
3;nor;incompetence;incomparable since white;Mauritius;whether oh fresh;minus around
4;hydrate kettledrum;however thigh;inasmuch when;Romania;more;unto
5;snag rundown amid;award;than er before;Libyan Arab Jamahiriya;shrug kick;boo shyly
6;sellotape fooey athwart;humongous incidentally;intent spacing;Georgia;afore;frilly overact bivouac
7;colonization including;whereas;phew;Czechia;pfft while whoa;warmly
8;until for hmph;infamous rip;voter;Monaco;hospital;annually blah whoa
9;virtual;prison since;rigidly;Turkey;promptly duh oof;courageously oof
10;afterwards low granddaughter;though constitute;amid equate for;Sint Maarten;rigid partially;hm
