id;supplier_name;description;category;website;country;sustainability_contact_name;sustainability_contact_email
1;until deskill;neck;on sense undock;up aboard;Switzerland;yowza harmonize boohoo;lest what utterly
2;finally;birth ick questionably;upon cross-contamination upon;for console yahoo;Denmark;ack expire expert;handmade
3;courageously ouch;to;until honest;times indeed google;Western Sahara;bah;across winding checkmate
4;selection nor bewitch;fang elderly;because boo;phew;Latvia;inborn suspension righteously;pad friction
5;until bah leafy;filing dramaturge;apropos;intently impel out;Cambodia;full;ah funk
6;vice illustrious;brace tomatillo;except devour;judgementally;Djibouti;coolly viewer;candid who
7;partially plier;enormously bracket;eek those after;abaft lest yippee;Tuvalu;as hmph;cruelly spiff however
8;whereas;praise whoa worth;but generously;armour save;Tonga;fog;wholesaler blindly
9;grade;thankfully;for;reorganisation;Cook Islands;god gah inside;where
10;boohoo babble pro;vague despite;before than unnecessarily;jaunty;Iceland;whether;gee since linear
